gps value x,gps value y,motor kanan,motor kiri,sensor kiri
0.5592835292907697,0.44955571178180975,3.6,3.6,33
0.5592850367914967,0.4495034531882305,3.25,3.25,29
0.5593369509307353,0.4463073440810377,4.65,4.65,28
0.5593904368940552,0.44302043513709743,3.95,3.95,31
0.5594444995803809,0.4396923851778467,3.25,3.25,35
0.5594984537675833,0.4363666853566615,3.6,3.6,34
0.5595258330311035,0.4346798976598516,3.25,3.25,33
0.5595526273201897,0.4330317203018328,3.6,3.6,30
0.559579297530965,0.4313888577729504,3.6,3.6,34
0.559621786678913,0.4287599140630056,3.6,3.6,30
0.5596644871818884,0.4261209012448119,3.6,3.6,36
0.5597014400238078,0.4238363718041181,3.25,3.25,34
0.5597348159702097,0.42177261543593747,3.95,3.95,31
0.5597681772918875,0.4197089675966997,3.25,3.25,33
0.5598025961034492,0.4175784110871156,3.95,3.95,33
0.5598440542556832,0.41501184043315414,4.65,4.65,31
0.5598926078414341,0.41200515783440506,3.6,3.6,34
0.5599411655007576,0.40899783983462934,3.25,3.25,29
0.5599691346785932,0.4072651802260809,3.6,3.6,28
0.5599970431639454,0.405536840216114,3.6,3.6,34
0.5600353156267852,0.4031653583662607,3.95,3.95,32
0.5600770278741047,0.40058144295446835,3.95,3.95,33
0.560119025990158,0.39797966525291856,3.95,3.95,37
0.5601612391868915,0.3953644364555469,4.3,4.3,29
0.5602058589697768,0.3925999868730971,3.25,3.25,38
0.5602504133040762,0.3898395132746937,4.65,4.65,31
0.5602929279727817,0.387205000803454,4.3,4.3,31
0.560335182169239,0.384586879388894,4.3,4.3,29
0.5603773584072957,0.3819735554320672,3.25,3.25,34
0.5604194022777647,0.379368406131132,3.6,3.6,31
0.5604553136150214,0.37714300670969714,3.6,3.6,34
0.5604908521922362,0.3749408971857383,3.6,3.6,34
0.5605261129598766,0.3727559901803517,3.25,3.25,31
0.560559362283767,0.3706957143100218,3.95,3.95,30
0.5605925983719866,0.3686362503839901,3.25,3.25,36
0.5606269478168925,0.3665071901241519,4.3,4.3,32
0.5606719474821606,0.36371889025567283,4.65,4.65,31
0.5607204762800032,0.36071188945110577,3.6,3.6,34
0.5607690113486762,0.3577044796858113,3.6,3.6,32
0.5608005637035623,0.3557489986126374,4.3,4.3,31
0.5608321213395504,0.3537935220526981,3.6,3.6,37
0.5608756667231035,0.35109413137155704,3.25,3.25,35
0.5609194191956942,0.34838319728667866,3.6,3.6,32
0.5609515373352497,0.3463927264530954,3.95,3.95,32
0.5609836671974623,0.34440187803065675,3.6,3.6,34
0.5610220816695877,0.34202092735125006,4.3,4.3,30
0.5610674838315591,0.3392077391536675,5.0,5.0,29
0.5611199143950607,0.3359589971305897,3.6,3.6,38
0.5611723650749196,0.33270897976984865,3.95,3.95,30
0.5612055714484401,0.3306511335162522,3.6,3.6,30
0.5612385346742053,0.3286085083763895,3.25,3.25,32
0.5612714932725484,0.32656617101454966,4.3,4.3,30
0.561315933252355,0.32381225097336425,4.3,4.3,32
0.5613604677469658,0.3210526064912166,3.25,3.25,35
0.561404903935686,0.31829905356777993,3.6,3.6,34
0.5614366776454005,0.31632988361656,3.25,3.25,35
0.5614681554488702,0.31437925869853295,3.25,3.25,35
0.5614995165787663,0.3124358697609797,4.3,4.3,24
0.5615311072015013,0.3104782622064207,4.65,4.65,29
0.561585425404844,0.307111376372523,5.0,5.0,28
0.561640240125614,0.303714853342209,4.65,4.65,31
0.561695205608317,0.30030895487614595,3.6,3.6,32
0.5617320101744004,0.298028065115445,3.95,3.95,32
0.5617687027014857,0.29575442113732914,3.25,3.25,31
0.5618053312629461,0.293484728072488,3.25,3.25,31
0.5618387338655806,0.2914147825307301,3.95,3.95,33
0.5618721616556721,0.28934341283993087,3.95,3.95,33
0.5619137859098413,0.28676351633348407,3.6,3.6,30
0.5619556354864413,0.2841703811766949,4.3,4.3,31
0.5619976179795895,0.281568981992257,4.3,4.3,30
0.5620422705288908,0.2788018867625532,3.6,3.6,31
0.5620869317063892,0.27603450619343334,4.3,4.3,27
0.5621305037326536,0.27333433425641623,3.6,3.6,34
0.5621670456488229,0.2710700219406205,3.25,3.25,32
0.56220008397387,0.26902280290704356,3.25,3.25,29
0.5622329248918538,0.2669878046541777,4.3,4.3,30
0.562265815121745,0.2649497411765121,3.6,3.6,36
0.5623086990511245,0.26229134147150274,4.3,4.3,31
0.5623535165402654,0.25951439454955344,3.25,3.25,35
0.5623983150026222,0.2567385838502102,3.95,3.95,27
0.5624335121387599,0.2545573407237083,3.25,3.25,34
0.5624667412266287,0.252498311530274,4.3,4.3,32
0.562500022970253,0.2504360050998975,3.6,3.6,27
0.5625427123077767,0.24778971594306512,3.6,3.6,30
0.5625856135693491,0.24513150881005272,4.65,4.65,29
0.5626285446290978,0.24247117680087812,4.3,4.3,30
0.5626732024245601,0.23970360165538507,3.6,3.6,31
0.5627178735416308,0.23693570662857724,3.95,3.95,27
0.562757849809435,0.23445842353997268,3.6,3.6,36
0.5627943725468323,0.23219536563654544,3.95,3.95,28
0.5628307301134341,0.22994251819764144,4.3,4.3,30
0.5628671993888505,0.22768272835675624,3.95,3.95,29
0.5629094445204236,0.2250644436922056,3.6,3.6,33
0.5629520564077032,0.22242410865888676,3.95,3.95,33
0.562994836751122,0.21977330408012205,3.6,3.6,27
0.5630375367855979,0.2171274512138052,3.6,3.6,28
0.5630737936194304,0.21488064022949754,3.6,3.6,29
0.563109758536446,0.21265208783992623,5.0,5.0,25
0.5631457770338996,0.21042020303648806,3.95,3.95,26
0.5631943184727684,0.20741113136504738,3.25,3.25,29
0.5632430287260154,0.20439304117108376,5.0,5.0,29
0.5632870845005986,0.20166307420809498,4.65,4.65,27
